;OS;Count;Count_sp;signalHsmm;signalP;diff
5001;Xenopus laevis (African clawed frog).;11102;304;0,967370298;0,94519392;0,022176378
1616;Drosophila simulans (Fruit fly).;802;42;0,968953634;0,952380952;0,016572682
679;Caenorhabditis elegans.;9177;438;0,941010512;0,924850732;0,01615978
3960;Pyrenophora tritici-repentis (strain Pt-1C-BFP) (Wheat tan spot fungus) (Drechslera tritici-repentis).;186;8;0,950842697;0,934691011;0,016151685
391;Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1).;1154;56;0,977507806;0,962919594;0,014588212
4097;Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).;16831;311;0,926535019;0,912717022;0,013817997
1252;Crotalus adamanteus (Eastern diamondback rattlesnake).;79;39;0,974358974;0,961538462;0,012820513
3803;Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii).;6965;235;0,945838892;0,934651133;0,011187759
2650;Manduca sexta (Tobacco hawkmoth) (Tobacco hornworm).;305;33;0,995543672;0,984848485;0,010695187
2463;Limulus polyphemus (Atlantic horseshoe crab).;56;5;1;0,990196078;0,009803922
265;Aotus trivirgatus (Three-striped night monkey) (Douroucouli).;55;8;0,946808511;0,9375;0,009308511
1692;Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite).;744;16;0,96299794;0,954326923;0,008671016
2485;Lithobates catesbeiana (American bullfrog) (Rana catesbeiana).;197;19;0,981963335;0,973684211;0,008279125
2249;Ipomoea batatas (Sweet potato) (Convolvulus batatas).;83;9;1;0,993243243;0,006756757
4325;Solanum lycopersicum (Tomato) (Lycopersicon esculentum).;1016;45;0,960865088;0,954525689;0,006339398
749;Candida dubliniensis (strain CD36 / ATCC MYA-646 / CBS 7987 / NCPF 3949 / NRRL Y-17841) (Yeast).;246;5;0,966804979;0,960580913;0,006224066
3360;Papio anubis (Olive baboon).;162;24;0,985205314;0,979166667;0,006038647
3271;Oryzias latipes (Japanese rice fish) (Japanese killifish).;325;13;0,963510848;0,958333333;0,005177515
564;Bombyx mori (Silk moth).;459;76;0,996839357;0,99211557;0,004723787
1613;Drosophila sechellia (Fruit fly).;776;22;0,981914637;0,977272727;0,00464191
3766;Podospora anserina (Pleurage anserina).;120;3;1;0,995726496;0,004273504
352;Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes).;95;55;0,994545455;0,990909091;0,003636364
1784;Euglena gracilis.;300;1;1;0,996655518;0,003344482
709;Callithrix jacchus (White-tufted-ear marmoset).;242;35;0,987853692;0,985714286;0,002139406
3815;Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa).;247;4;1;0,997942387;0,002057613
3105;Nicotiana sylvestris (Wood tobacco) (South American tobacco).;262;1;1;0,998084291;0,001915709
4494;Strongylocentrotus purpuratus (Purple sea urchin).;357;18;0,862012455;0,86086529;0,001147165
3055;Nematostella vectensis (Starlet sea anemone).;552;14;0,999867233;0,999070632;0,000796601
2694;Medicago sativa (Alfalfa).;130;7;0,996515679;0,995934959;0,00058072
1913;Gallus gallus (Chicken).;6247;367;0,939827661;0,939390906;0,000436755
158;Ambystoma mexicanum (Axolotl).;65;4;1;1;0
193;Anguilla anguilla (European freshwater eel) (Muraena anguilla).;74;5;1;1;0
592;Bothrops moojeni (Lance-headed viper) (Caissaca).;64;7;1;1;0
624;Brassica campestris (Field mustard).;107;2;1;1;0
692;Callicebus moloch (Dusky titi monkey).;52;8;1;1;0
770;Cannabis sativa (Hemp) (Marijuana).;53;5;1;1;0
826;Catharanthus roseus (Madagascar periwinkle) (Vinca rosea).;164;2;0,941358025;0,941358025;0
898;Cerrophidion godmani (Porthidium godmani) (Bothrops godmani).;57;1;1;1;0
1119;Columba livia (Rock dove).;66;3;1;1;0
