;OS;Count;Count_sp;signalHsmm;signalP;diff
990;Chlamydomonas reinhardtii (Chlamydomonas smithii).;962;8;0,772667715;0,854035639;-0,081367925
3682;Plasmodium chabaudi.;103;1;0,833333333;0,916666667;-0,083333333
211;Anopheles gambiae (African malaria mosquito).;930;34;0,870962447;0,954766282;-0,083803834
4027;Rhinoceros unicornis (Greater Indian rhinoceros).;142;1;0,843971631;0,929078014;-0,085106383
2022;Gorilla gorilla gorilla (Western lowland gorilla).;682;67;0,872054362;0,963936415;-0,091882053
2165;Hordeum vulgare (Barley).;719;45;0,881767227;0,974793933;-0,093026706
1382;Cyprinus carpio (Common carp).;208;18;0,744736842;0,841812865;-0,097076023
409;Aspergillus terreus.;55;74;0,901960784;1;-0,098039216
1285;Cryptomeria japonica (Japanese cedar) (Cupressus japonica).;101;2;0,898989899;1;-0,101010101
4144;Saimiri sciureus (Common squirrel monkey).;90;20;0,89;0,992857143;-0,102857143
3071;Neosartorya fumigata (Aspergillus fumigatus).;51;6;0,896296296;1;-0,103703704
94;Ajellomyces dermatitidis (strain SLH14081) (Blastomyces dermatitidis).;122;9;0,895771878;1;-0,104228122
4930;Verticillium alfalfae (strain VaMs.102 / ATCC MYA-4576 / FGSC 10136) (Verticillium wilt of alfalfa) (Verticillium albo-atrum).;80;6;0,810810811;0,916666667;-0,105855856
179;Anas platyrhynchos (Mallard) (Anas boschas).;103;10;0,735483871;0,842473118;-0,106989247
93;Ajellomyces dermatitidis (strain ER-3 / ATCC MYA-2586) (Blastomyces dermatitidis).;123;8;0,890217391;1;-0,109782609
3201;Olea europaea (Common olive).;101;4;0,757731959;0,875;-0,117268041
393;Aspergillus flavus.;89;86;0,767068273;0,885542169;-0,118473896
4803;Triticum aestivum (Wheat).;733;53;0,857880133;0,981132075;-0,123251942
3219;Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri).;374;38;0,844924812;0,96875;-0,123825188
3354;Pan paniscus (Pygmy chimpanzee) (Bonobo).;330;207;0,835167715;0,966981132;-0,131813417
2558;Lumbricus terrestris (Common earthworm).;145;2;0,867132867;1;-0,132867133
4635;Tetraodon nigroviridis (Spotted green pufferfish) (Chelonodon nigroviridis).;288;5;0,812014134;0,962897527;-0,150883392
1890;Gadus morhua (Atlantic cod).;215;5;0,699047619;0,852380952;-0,153333333
1740;Equus caballus (Horse).;610;87;0,805828443;0,978967495;-0,173139052
1048;Citrus sinensis (Sweet orange) (Citrus aurantium var. sinensis).;129;4;0,572;0,75;-0,178
1587;Drosophila mauritiana (Fruit fly).;78;8;0,821428571;1;-0,178571429
486;Balaenoptera physalus (Finback whale) (Common rorqual).;123;1;0,655737705;0,836065574;-0,180327869
2501;Locusta migratoria (Migratory locust).;227;5;0,627027027;0,807657658;-0,180630631
4780;Trichosurus vulpecula (Brush-tailed possum).;62;15;0,818439716;1;-0,181560284
1834;Felis catus (Cat) (Felis silvestris catus).;547;82;0,751062156;0,935470758;-0,184408602
4460;Squalus acanthias (Spiny dogfish).;206;1;0,712195122;0,902439024;-0,190243902
1433;Delphinapterus leucas (Beluga whale).;68;3;0,805128205;1;-0,194871795
3382;Paralichthys olivaceus (Bastard halibut) (Hippoglossus olivaceus).;59;13;0,802675585;1;-0,197324415
1688;Emericella nidulans (Aspergillus nidulans).;100;1;0,797979798;1;-0,202020202
2867;Monodelphis domestica (Gray short-tailed opossum).;109;11;0,791280148;0,994897959;-0,203617811
2506;Lolium perenne (Perennial ryegrass).;104;3;0,792079208;1;-0,207920792
4409;Sorghum bicolor (Sorghum) (Sorghum vulgare).;327;5;0,685714286;0,898447205;-0,212732919
4368;Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell).;112;6;0,781446541;1;-0,218553459
3368;Paracentrotus lividus (Common sea urchin).;185;2;0,726775956;0,945355191;-0,218579235
779;Capra hircus (Goat).;160;35;0,771657143;0,992;-0,220342857
808;Carica papaya (Papaya).;128;5;0,67804878;0,9;-0,22195122
2091;Helianthus annuus (Common sunflower).;288;3;0,766081871;1;-0,233918129
1413;Dasypus novemcinctus (Nine-banded armadillo).;158;5;0,534640523;0,77254902;-0,237908497
399;Aspergillus niger.;260;86;0,74307592;0,981345715;-0,238269795
4987;Vulpes vulpes (Red fox).;74;6;0,759803922;1;-0,240196078
4495;Struthio camelus (Common ostrich).;173;3;0,696078431;0,944117647;-0,248039216
3576;Phoca vitulina (Harbor seal).;161;2;0,691823899;0,940251572;-0,248427673
1066;Claviceps purpurea (Ergot fungus) (Sphacelia segetum).;78;2;0,75;1;-0,25
1281;Cryptococcus neoformans var. grubii serotype A (strain H99 / ATCC 208821 / CBS 10515 / FGSC 9487) (Filobasidiella neoformans var. grubii).;88;2;0,738372093;1;-0,261627907
622;Branchiostoma lanceolatum (Common lancelet) (Amphioxus lanceolatum).;149;1;0,608108108;0,871621622;-0,263513514
874;Ceratitis capitata (Mediterranean fruit fly) (Tephritis capitata).;90;3;0,567049808;0,833333333;-0,266283525
1833;Fasciola hepatica (Liver fluke).;75;1;0,72972973;1;-0,27027027
3252;Ornithorhynchus anatinus (Duckbill platypus).;157;10;0,66122449;0,93537415;-0,27414966
379;Ascaris suum (Pig roundworm) (Ascaris lumbricoides).;344;4;0,694117647;0,970588235;-0,276470588
1737;Equus asinus (Donkey).;188;7;0,643251776;0,947513812;-0,304262036
2385;Lemur catta (Ring-tailed lemur).;166;3;0,63190184;0,938650307;-0,306748466
404;Aspergillus parasiticus.;115;1;0,614035088;0,921052632;-0,307017544
2063;Halichoerus grypus (Gray seal).;143;3;0,623809524;0,932142857;-0,308333333
1888;Fusarium solani subsp. pisi (Nectria haematococca).;63;2;0,68852459;1;-0,31147541
3464;Penicillium marneffei.;64;8;0,682539683;1;-0,317460317
571;Bos indicus (Zebu).;167;5;0,555555556;0,87654321;-0,320987654
4764;Trichophyton rubrum (Athlete's foot fungus) (Epidermophyton rubrum).;139;22;0,654234654;0,977272727;-0,323038073
3522;Petromyzon marinus (Sea lamprey).;188;8;0,623611111;0,947222222;-0,323611111
3767;Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383) (Pleurage anserina).;327;9;0,527603075;0,852725367;-0,325122292
2581;Lytechinus variegatus (Green sea urchin) (Variegated urchin).;76;2;0,655405405;1;-0,344594595
881;Ceratotherium simum (White rhinoceros) (Square-lipped rhinoceros).;142;2;0,578571429;0,928571429;-0,35
1618;Drosophila subobscura (Fruit fly).;56;6;0,65;1;-0,35
2148;Hippopotamus amphibius (Hippopotamus).;161;1;0,50625;0,875;-0,36875
2573;Lymnaea stagnalis (Great pond snail) (Helix stagnalis).;75;18;0,592592593;0,972222222;-0,37962963
3011;Myxine glutinosa (Atlantic hagfish).;144;1;0,545454545;0,93006993;-0,384615385
1270;Cryphonectria parasitica (Chesnut blight fungus) (Endothia parasitica).;104;4;0,6025;1;-0,3975
1479;Didelphis virginiana (North American opossum) (Didelphis marsupialis virginiana).;173;4;0,534023669;0,940828402;-0,406804734
3651;Pinus sylvestris (Scots pine).;51;2;0,591836735;1;-0,408163265
2222;Hypocrea jecorina (Trichoderma reesei).;108;13;0,574898785;1;-0,425101215
3008;Mytilus edulis (Blue mussel).;123;2;0,566115702;1;-0,433884298
2531;Loxodonta africana (African elephant).;176;2;0,545977011;1;-0,454022989
3419;Patiria pectinifera (Starfish) (Asterina pectinifera).;147;2;0,544827586;1;-0,455172414
4211;Schizophyllum commune (Split gill fungus).;102;6;0,539930556;1;-0,460069444
3583;Phodopus sungorus (Striped hairy-footed hamster) (Djungarian hamster).;85;3;0,536585366;1;-0,463414634
3080;Neovison vison (American mink) (Mustela vison).;57;11;0,513833992;1;-0,486166008
573;Bos mutus grunniens (Wild yak) (Bos grunniens).;150;4;0,506849315;1;-0,493150685
2727;Meriones unguiculatus (Mongolian jird) (Mongolian gerbil).;62;14;0,501488095;1;-0,498511905
