OS;Count;signalHsmm;signalP;diff;sp_count
Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus).;61;1;1;0;20
Delphinus delphis (Short-beaked common dolphin).;42;1;1;0;1
Dendroaspis angusticeps (Eastern green mamba) (Naja angusticeps).;4;1;1;0;3
Dermatophagoides farinae (American house dust mite).;9;1;1;0;5
Devario aequipinnatus (Giant danio) (Danio aequipinnatus).;3;1;1;0;1
Dicerorhinus sumatrensis (Sumatran rhinoceros).;21;1;1;0;1
Diceros bicornis (Black rhinoceros).;21;1;1;0;1
Dirofilaria immitis (Canine heartworm).;7;1;1;0;3
Doryteuthis pealeii (Longfin inshore squid) (Loligo pealeii).;26;1;1;0;1
Dromaius novaehollandiae (Emu).;103;1;1;0;4
Drosophila auraria (Fruit fly).;2;1;1;0;1
Drosophila guanche (Fruit fly).;4;1;1;0;1
Drosophila madeirensis (Fruit fly).;5;1;1;0;1
Drosophila miranda (Fruit fly).;9;1;1;0;6
Drosophila orena (Fruit fly).;28;1;1;0;2
Drosophila serrata (Fruit fly).;19;1;1;0;1
Drosophila teissieri (Fruit fly).;32;1;1;0;3
Dugesia japonica (Planarian).;6;1;1;0;2
Echinococcus granulosus (Hydatid tapeworm).;86;1;1;0;1
Echinococcus multilocularis (Fox tapeworm).;47;1;1;0;1
Echis carinatus (Saw-scaled viper).;23;1;1;0;2
Echis carinatus sochureki (Saw-scaled viper).;25;1;1;0;5
Echis coloratus (Carpet viper).;22;1;1;0;2
Echis ocellatus (Ocellated saw-scaled viper).;19;1;1;0;18
Echis pyramidum leakeyi (Leakey's carpet viper) (Echis carinatus leakeyi).;25;1;1;0;6
Electrophorus electricus (Electric eel) (Gymnotus electricus).;6;1;1;0;1
Encephalitozoon hellem (Microsporidian parasite).;6;1;1;0;2
Engyodontium album (Tritirachium album).;2;1;1;0;1
Epinephelus coioides (Orange-spotted grouper) (Epinephelus nebulosus).;20;1;1;0;1
Eptatretus stoutii (Pacific hagfish).;14;1;1;0;1
Equus burchelli (Plains zebra) (Equus quagga).;24;1;1;0;2
Equus burchellii antiquorum (Damara zebra) (Chapman zebra).;2;1;1;0;1
Equus grevyi (Grevy's zebra).;24;1;1;0;1
Erinaceus europaeus (Western European hedgehog).;29;1;1;0;1
Erythrocebus patas (Red guenon) (Cercopithecus patas).;10;1;1;0;2
Eulemur macaco macaco (Black lemur).;27;1;1;0;2
Eulophus pennicornis (Parasitoid wasp).;3;1;1;0;2
Euplotes octocarinatus.;12;1;1;0;4
Fagopyrum esculentum (Common buckwheat) (Polygonum fagopyrum).;5;1;1;0;3
Flammulina velutipes (Agaricus velutipes).;2;1;1;0;1
Fusarium oxysporum (Fusarium vascular wilt).;11;1;1;0;5
Fusarium solani subsp. phaseoli (Nectria haematococca).;3;1;1;0;1
Gaeumannomyces graminis var. avenae.;2;1;1;0;1
Galago senegalensis (Northern lesser bushbaby) (Senegal bushbaby).;41;1;1;0;1
Galleria mellonella (Greater wax moth).;32;1;1;0;8
Gecko japonicus (Japanese gecko).;27;1;1;0;1
Geotrichum candidum (Oospora lactis) (Dipodascus geotrichum).;3;1;1;0;1
Gerbera hybrida (Daisy).;23;1;1;0;1
Gerbilliscus gambianus (Gambian gerbil) (Gerbilliscus kempi gambiana).;2;1;1;0;1
Giardia intestinalis (Giardia lamblia).;106;1;1;0;5
Ginkgo biloba (Ginkgo) (Maidenhair tree).;7;1;1;0;1
Giraffa camelopardalis (Giraffe).;27;1;1;0;3
Glis glis (Fat dormouse) (Myoxus glis).;41;1;1;0;1
Globodera rostochiensis (Golden nematode worm) (Heterodera rostochiensis).;12;1;1;0;8
Glossina morsitans morsitans (Savannah tsetse fly).;30;1;1;0;8
Gloydius brevicaudus siniticus (Chinese mamushi) (Agkistrodon blomhoffii siniticus).;4;1;1;0;3
Gloydius shedaoensis (Shedao island pit viper) (Agkistrodon shedaoensis).;2;1;1;0;1
Gloydius ussuriensis (Ussuri mamushi) (Gloydius blomhoffii ussuriensis).;43;1;1;0;4
Gossypium barbadense (Sea-island cotton) (Egyptian cotton).;118;1;1;0;1
Grammostola rosea (Chilean rose tarantula) (Grammostola spatulata).;5;1;1;0;4
Grifola frondosa (Maitake) (Polyporus frondosus).;2;1;1;0;1
Grosmannia clavigera (strain kw1407 / UAMH 11150) (Blue stain fungus) (Graphiocladiella clavigera).;20;1;1;0;1
Haematobia irritans exigua (Buffalo fly).;2;1;1;0;1
Haliotis asinina (Donkey's ear abalone) (Ass's ear abalone).;31;1;1;0;9
Haliotis rufescens (California red abalone).;3;1;1;0;2
Haplochromis burtoni (Burton's mouthbrooder).;20;1;1;0;1
Helianthus tuberosus (Jerusalem artichoke) (Helianthus tomentosus).;3;1;1;0;1
Helicoverpa assulta (Oriental tobacco budworm) (Heliothis assulta).;2;1;1;0;1
Helicoverpa zea (Corn earworm moth) (Heliothis zea).;18;1;1;0;1
Heliocidaris crassispina (Sea urchin) (Anthocidaris crassispina).;80;1;1;0;1
Helix aspersa (Brown garden snail) (Cornu aspersum).;20;1;1;0;2
Heloderma horridum horridum (Mexican beaded lizard).;3;1;1;0;2
Heloderma suspectum (Gila monster).;40;1;1;0;3
Hemicentrotus pulcherrimus (Sea urchin) (Strongylocentrotus pulcherrimus).;8;1;1;0;3
Hemitragus jemlahicus (Himalayan tahr).;20;1;1;0;1
Hemitripterus americanus (Sea raven).;2;1;1;0;1
Heterocapsa triquetra (Dinoflagellate) (Glenodinium triquetrum).;2;1;1;0;1
Heterocephalus glaber (Naked mole rat).;3;1;1;0;2
Heterodontus francisci (Horn shark) (Cestracion francisci).;62;1;1;0;1
Heteropneustes fossilis (Stinging catfish).;2;1;1;0;1
Hippoglossus hippoglossus (Atlantic halibut) (Pleuronectes hippoglossus).;2;1;1;0;1
Hirudo medicinalis (Medicinal leech).;6;1;1;0;2
Hoplocephalus stephensii (Stephens' banded snake).;11;1;1;0;10
Hyalophora cecropia (Cecropia moth).;26;1;1;0;6
Hydra viridissima (Green hydra) (Chlorohydra viridissima).;9;1;1;0;1
Hydrophis hardwickii (Hardwick's spine-bellied seasnake) (Lapemis hardwickii).;14;1;1;0;13
Hylobates agilis (Agile gibbon).;4;1;1;0;1
Hylobates klossii (Kloss's gibbon).;2;1;1;0;1
Hylobates moloch (Silvery gibbon).;3;1;1;0;2
Hylobates pileatus (Pileated gibbon).;2;1;1;0;1
Hylobates syndactylus (Siamang) (Symphalangus syndactylus).;32;1;1;0;3
Hypocrea atroviridis (Trichoderma atroviride).;8;1;1;0;1
Hypocrea rufa (Trichoderma viride).;5;1;1;0;1
Hypocrea virens (Gliocladium virens) (Trichoderma virens).;4;1;1;0;1
Hypophthalmichthys molitrix (Silver carp) (Leuciscus molitrix).;2;1;1;0;1
Ipomoea nil (Japanese morning glory) (Pharbitis nil).;50;1;1;0;2
Isoodon macrourus (Short-nosed bandicoot) (Northern brown bandicoot).;40;1;1;0;1
Jaculus jaculus (Lesser Egyptian jerboa).;20;1;1;0;1
Kluyveromyces marxianus (Yeast) (Candida kefyr).;41;1;1;0;1
Komagataella pastoris (Yeast) (Pichia pastoris).;130;1;1;0;2
Labeo rohita (Indian major carp).;2;1;1;0;1
Lachancea kluyveri (strain ATCC 58438 / CBS 3082 / CCRC 21498 / NBRC 1685 / JCM 7257 / NCYC 543 / NRRL Y-12651) (Yeast) (Saccharomyces kluyveri).;48;1;1;0;1
Lachesis muta rhombeata (Bushmaster).;3;1;1;0;1
Lachesis stenophrys (Central American bushmaster).;21;1;1;0;1
Lampetra fluviatilis (European river lamprey) (Petromyzon fluviatilis).;41;1;1;0;2
Larimichthys crocea (Large yellow croaker) (Pseudosciaena crocea).;3;1;1;0;2
Laticauda colubrina (Yellow-lipped sea krait) (Banded sea krait).;65;1;1;0;8
Laticauda semifasciata (Black-banded sea krait) (Pseudolaticauda semifasciata).;52;1;1;0;16
Latrodectus tredecimguttatus (Mediterranean black widow spider) (Latrodectus mactans tredecimguttatus).;5;0,833333333;0,833333333;0;3
Lentinula edodes (Shiitake mushroom) (Lentinus edodes).;29;1;1;0;1
Leontopithecus chrysopygus (Golden-rumped lion tamarin) (Leontopithecus rosalia chrysopygus).;2;1;1;0;1
Lepidoglyphus destructor (Storage mite) (Glycyphagus destructor).;21;1;1;0;2
Lepus capensis (Brown hare).;18;1;1;0;2
Leucoraja erinacea (Little skate) (Raja erinacea).;39;1;1;0;1
Lilium longiflorum (Trumpet lily).;58;1;1;0;6
Lithobates pipiens (Northern leopard frog) (Rana pipiens).;34;1;1;0;2
Litopenaeus vannamei (Whiteleg shrimp) (Penaeus vannamei).;34;1;1;0;12
Loa loa (Eye worm) (Filaria loa).;2;1;1;0;1
Lonomia obliqua (Moth).;26;1;1;0;6
Lophiotoma olangoensis (Sea snail).;9;1;1;0;4
Loxosceles intermedia (Brown spider).;22;1;1;0;19
Loxosceles laeta (South American recluse spider) (Scytodes laeta).;17;1;1;0;4
Loxosceles reclusa (Brown recluse spider).;3;1;1;0;1
Lucilia cuprina (Green bottle fly) (Australian sheep blowfly).;41;1;1;0;4
Lymantria dispar (Gypsy moth) (Porthetria dispar).;9;1;1;0;7
Lytechinus pictus (Painted sea urchin).;16;1;1;0;1
Macaca arctoides (Stump-tailed macaque).;3;1;1;0;2
Macaca assamensis (Assam macaque) (Assamese macaque).;3;1;1;0;2
Macaca hecki (Heck's macaque).;21;1;1;0;1
Macaca maura (Moor macaque).;20;1;1;0;1
Macaca nigra (Celebes black macaque) (Crested black macaque).;23;1;1;0;1
Macaca nigrescens (Gorontalo macaque) (Macaca nigra nigrescens).;21;1;1;0;1
Macaca silenus (Lion-tailed macaque).;2;1;1;0;1
Macaca sylvanus (Barbary macaque).;41;1;1;0;1
Macaca tonkeana (Tonkean macaque).;2;1;1;0;1
Macadamia integrifolia (Macadamia nut).;4;1;1;0;3
Macropus eugenii (Tammar wallaby).;45;1;1;0;13
Macropus giganteus (Eastern gray kangaroo).;40;1;1;0;1
Macrovipera lebetina (Levantine viper) (Vipera lebetina).;67;1;1;0;38
Macrovipera lebetina transmediterranea (Blunt-nosed viper) (Vipera lebetina transmediterranea).;2;1;1;0;1
Malus domestica (Apple) (Pyrus malus).;136;1;1;0;4
Mastomys natalensis (African soft-furred rat) (Praomys natalensis).;3;1;1;0;2
Medicago sativa subsp. varia (Alfalfa) (Medicago varia).;4;1;1;0;1
Megabalanus rosa (Acorn barnacle).;2;1;1;0;1
Metapenaeus ensis (Greasyback shrimp) (Penaeus ensis).;22;1;1;0;2
Microcebus murinus (Lesser mouse lemur) (Gray Mouse Lemur).;33;1;1;0;2
Micropechis ikaheka (New Guinean small-eyed snake).;2;1;1;0;1
Microtus oeconomus (Tundra vole).;20;1;1;0;1
Micrurus fulvius (Eastern coral snake) (Coluber fulvius).;20;1;1;0;1
Miopithecus talapoin (Angolan talapoin) (Cercopithecus talapoin).;8;1;1;0;5
Mirabilis jalapa (Garden four-o'clock).;20;1;1;0;1
Momordica charantia (Bitter gourd) (Balsam pear).;3;1;1;0;2
Monosiga brevicollis (Choanoflagellate).;185;1;1;0;1
Morone saxatilis (Striped bass) (Perca saxatilis).;11;1;1;0;6
Moschus berezovskii (Chinese forest musk deer).;3;1;1;0;2
Moschus chrysogaster (Alpine musk deer).;21;1;1;0;1
Muntiacus muntjak (Barking deer) (Indian muntjac).;29;1;1;0;2
Muntiacus reevesi (Reeve's muntjac) (Chinese muntjac).;28;1;1;0;1
Mus caroli (Ryukyu mouse) (Ricefield mouse).;26;1;1;0;1
Mus cookii (Cook's mouse).;2;1;1;0;1
Mus pahari (Gairdner's shrew-mouse) (Coelomys pahari).;23;1;1;0;1
Mus saxicola (Brown spiny mouse) (Rock-loving mouse).;23;1;1;0;2
Mus spretus (Western Mediterranean mouse) (Algerian mouse).;29;1;1;0;1
Myocastor coypus (Coypu) (Nutria).;3;1;1;0;2
Myrothecium verrucaria.;2;1;1;0;1
Mytilus galloprovincialis (Mediterranean mussel).;12;1;1;0;7
Naja atra (Chinese cobra).;86;1;1;0;48
Naja mossambica (Mozambique spitting cobra).;56;1;1;0;1
Naja naja (Indian cobra).;24;1;1;0;2
Nannospalax galili (Northern Israeli blind subterranean mole rat) (Spalax galili).;3;1;1;0;1
Nasalis larvatus (Proboscis monkey).;22;1;1;0;1
Nicotiana alata (Winged tobacco) (Persian tobacco).;5;1;1;0;3
Nicotiana paniculata.;2;1;1;0;1
Nomascus concolor (Black crested gibbon) (Hylobates concolor).;6;1;1;0;2
Nomascus gabriellae (Red-cheeked gibbon).;21;1;1;0;1
Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys).;36;1;1;0;5
Nosema bombycis (strain CQ1 / CVCC 102059) (Microsporidian parasite) (Pebrine of silkworm).;6;1;1;0;5
Notechis scutatus scutatus (Mainland tiger snake) (Common tiger snake).;92;1;1;0;17
Notomys alexis (Spinifex hopping mouse).;4;1;1;0;2
Nycticebus pygmaeus (Pygmy slow loris).;20;1;1;0;1
Octodon degus (Degu) (Sciurus degus).;21;1;1;0;3
Octopus vulgaris (Common octopus).;32;1;1;0;3
Odobenus rosmarus divergens (Pacific walrus).;4;1;1;0;2
Odocoileus hemionus (Mule deer) (Black-tailed deer).;21;1;1;0;1
Ogataea parapolymorpha (strain DL-1 / ATCC 26012 / NRRL Y-7560) (Yeast) (Hansenula polymorpha).;10;1;1;0;1
Oncorhynchus gorbuscha (Pink salmon) (Salmo gorbuscha).;39;1;1;0;1
Oncorhynchus keta (Chum salmon) (Salmo keta).;58;1;1;0;13
Oncorhynchus kisutch (Coho salmon) (Salmo kisutch).;44;1;1;0;4
Oncorhynchus masou (Cherry salmon) (Masu salmon).;62;1;1;0;5
Orcinus orca (Killer whale).;25;1;1;0;4
Orconectes limosus (Spinycheek crayfish).;4;1;1;0;3
Oreochromis mossambicus (Mozambique tilapia) (Tilapia mossambica).;30;1;1;0;7
Oreochromis niloticus (Nile tilapia) (Tilapia nilotica).;64;1;1;0;3
Ornithodoros moubata (Soft tick) (Argasid tick).;20;1;1;0;1
Oscheius tipulae.;71;1;1;0;1
Osmerus mordax (Rainbow smelt) (Atherina mordax).;24;1;1;0;2
Ostertagia ostertagi (Brown stomach worm).;21;1;1;0;2
Ostrea edulis (Native oyster) (European flat oyster).;3;1;1;0;1
Ovis orientalis musimon (Mouflon).;22;1;1;0;1
Ovophis okinavensis (Ryukyu Island pit viper) (Trimeresurus okinavensis).;22;1;1;0;2
Pacifastacus leniusculus (Signal crayfish).;2;1;1;0;1
Paguma larvata (Masked palm civet).;22;1;1;0;1
Pandalus borealis (Northern red shrimp).;2;1;1;0;1
Pantholops hodgsonii (Chiru).;41;1;1;0;1
Papaver somniferum (Opium poppy).;95;1;1;0;1
Papio sp. (Baboon).;2;1;1;0;1
Paramecium primaurelia.;5;1;1;0;2
Parietaria judaica (Pellitory-of-the-wall) (Parietaria diffusa).;7;1;1;0;4
Pecten maximus (King scallop) (Pilgrim's clam).;20;1;1;0;1
Pelodiscus sinensis (Chinese softshell turtle) (Trionyx sinensis).;8;1;1;0;2
Pelophylax nigromaculatus (Black-spotted frog) (Rana nigromaculata).;20;1;1;0;1
Pelophylax ridibundus (Marsh frog) (Rana ridibunda).;7;1;1;0;6
Penaeus japonicus (Kuruma prawn) (Marsupenaeus japonicus).;7;1;1;0;6
Penaeus monodon (Giant tiger prawn).;11;1;1;0;8
Penicillium camembertii.;2;1;1;0;1
Penicillium citrinum.;42;1;1;0;3
Penicillium digitatum (Green mold).;2;1;1;0;1
Penicillium funiculosum (Fruitlet core rot fungus).;8;1;1;0;5
Penicillium roqueforti.;3;1;1;0;1
Penicillium simplicissimum.;3;1;1;0;1
Penicillium sp.;21;1;1;0;1
Perca flavescens (American yellow perch) (Morone flavescens).;2;1;1;0;1
Periplaneta americana (American cockroach) (Blatta americana).;26;1;1;0;5
Perna viridis (Tropical green mussel).;3;1;1;0;2
Peromyscus maniculatus (North American deer mouse).;23;1;1;0;1
Petaurus breviceps (Australian sugar glider).;20;1;1;0;1
Phaffia rhodozyma (Yeast) (Xanthophyllomyces dendrorhous).;7;1;1;0;1
Phalaris aquatica (Canary grass).;5;1;1;0;4
Phaseolus angularis (Azuki bean) (Vigna angularis).;6;1;1;0;3
Phaseolus lunatus (Lima bean) (Phaseolus limensis).;3;1;1;0;1
Phleum pratense (Common timothy).;15;1;1;0;3
Phoneutria nigriventer (Brazilian armed spider) (Ctenus nigriventer).;18;1;1;0;16
Physarum polycephalum (Slime mold).;31;1;1;0;5
Physeter catodon (Sperm whale) (Physeter macrocephalus).;44;1;1;0;3
Phytolacca americana (American pokeweed) (Phytolacca decandra).;39;1;1;0;5
Picea glauca (White spruce) (Pinus glauca).;37;1;1;0;1
Pieris brassicae (White butterfly) (Large white butterfly).;2;1;1;0;1
Pinctada fucata (Pearl oyster).;12;1;1;0;8
Pinctada maxima (Silver-lipped pearl oyster) (White-lipped pearl oyster).;24;1;1;0;23
Pinus contorta (Shore pine) (Lodgepole pine).;9;1;1;0;1
Pinus taeda (Loblolly pine).;34;1;1;0;1
Pithecia irrorata (Gray monk saki).;2;1;1;0;1
Plasmodium berghei.;62;1;1;0;1
Plasmodium cynomolgi (strain Berok).;2;1;1;0;1
Plasmodium falciparum (isolate CDC / Honduras).;24;1;1;0;2
Plasmodium falciparum (isolate HB3).;26;1;1;0;1
Plasmodium falciparum (isolate NF54).;8;1;1;0;4
Plasmodium falciparum (isolate Palo Alto / Uganda).;3;1;1;0;1
Plasmodium gallinaceum.;19;1;1;0;1
Plasmodium knowlesi.;6;1;1;0;3
Plasmodium malariae.;2;1;1;0;1
Pleuronectes platessa (European plaice).;4;1;1;0;1
Plodia interpunctella (Indianmeal moth).;2;1;1;0;1
Plutella xylostella (Diamondback moth) (Plutella maculipennis).;8;1;1;0;1
Polyorchis penicillatus (Hydromedusa).;2;1;1;0;1
Polysphondylium pallidum (Cellular slime mold).;42;1;1;0;1
Procambarus clarkii (Red swamp crayfish).;25;1;1;0;3
Protobothrops elegans (Elegant pitviper) (Trimeresurus elegans).;25;1;1;0;4
Protobothrops jerdonii (Jerdon's pitviper) (Trimeresurus jerdonii).;15;1;1;0;14
Protobothrops mucrosquamatus (Taiwan habu) (Trimeresurus mucrosquamatus).;60;1;1;0;23
Protophormia terraenovae (Northern blowfly) (Lucilia terraenovae).;21;1;1;0;2
Prunus armeniaca (Apricot) (Armeniaca vulgaris).;11;1;1;0;1
Prunus avium (Cherry) (Cerasus avium).;41;1;1;0;2
Prunus dulcis (Almond) (Amygdalus dulcis).;28;1;1;0;4
Prunus persica (Peach) (Amygdalus persica).;32;1;1;0;8
Psetta maxima (Turbot) (Pleuronectes maximus).;2;1;1;0;1
Pseudechis australis (Mulga snake) (King brown snake).;216;1;1;0;14
Pseudechis porphyriacus (Red-bellied black snake).;49;1;1;0;11
Pseudonaja textilis (Eastern brown snake).;38;1;1;0;18
Pseudopleuronectes americanus (Winter flounder) (Pleuronectes americanus).;9;1;1;0;6
Psophocarpus tetragonolobus (Winged bean) (Dolichos tetragonolobus).;7;1;1;0;1
Puccinia graminis (Black stem rust fungus).;22;1;1;0;2
Pygathrix nemaeus (Red-shanked douc langur).;5;1;1;0;3
Pyrus communis (Pear) (Pyrus domestica).;24;1;1;0;2
Pyrus pyrifolia (Chinese pear) (Pyrus serotina).;4;1;1;0;2
Python molurus (Indian python).;20;1;1;0;1
Raphanus sativus (Radish).;115;1;1;0;1
Rattus fuscipes (Bush rat).;3;1;1;0;2
Rattus rattus (Black rat).;4;1;1;0;2
Rauvolfia serpentina (Serpentine wood) (Ophioxylon serpentinum).;25;1;1;0;2
Rhinella arenarum (Argentine common toad) (Bufo arenarum).;18;1;1;0;1
Rhinopithecus avunculus (Tonkin snub-nosed monkey) (Pygathrix avunculus).;2;1;1;0;1
Rhinopithecus bieti (Black snub-nosed monkey) (Pygathrix bieti).;4;1;1;0;1
Rhipicephalus appendiculatus (Brown ear tick).;3;1;1;0;2
Rhipicephalus microplus (Cattle tick) (Boophilus microplus).;6;1;1;0;3
Rhizopus niveus.;11;1;1;0;7
Rhizopus oligosporus.;4;1;1;0;2
Rhopalurus junceus (Caribbean blue scorpion).;7;1;1;0;6
Riftia pachyptila (Vent tube worm).;4;1;1;0;1
Rutilus rutilus (Roach).;41;1;1;0;2
Saccharomyces cerevisiae (strain Kyokai no. 7 / NBRC 101557) (Baker's yeast).;2;1;1;0;1
Saccharomyces mikatae (Yeast).;3;1;1;0;1
Saccharomyces uvarum (strain ATCC 76518 / CBS 7001 / CLIB 283 / NBRC 10550 / MCYC 623 / NCYC 2669 / NRRL Y-11845) (Yeast) (Saccharomyces bayanus var. uvarum).;30;1;1;0;2
Saccharomycopsis fibuligera (Yeast).;3;1;1;0;2
Saguinus imperator (Emperor tamarin).;3;1;1;0;1
Saguinus labiatus (Red-chested mustached tamarin).;10;1;1;0;3
Saguinus mystax (Moustached tamarin).;5;1;1;0;2
Saiga tatarica (Saiga antelope).;21;1;1;0;1
Salmo trutta (Brown trout).;41;1;1;0;1
Sambucus nigra (European elder).;37;1;1;0;3
Samia cynthia (Ailanthus silkmoth) (Phalaena cynthia).;24;1;1;0;5
Samia ricini (Indian eri silkmoth) (Samia cynthia ricini).;20;1;1;0;1
Saponaria officinalis (Common soapwort) (Lychnis saponaria).;6;1;1;0;2
Sarcophaga bullata (Grey flesh fly) (Neobellieria bullata).;2;1;1;0;1
Sarcophaga peregrina (Flesh fly) (Boettcherisca peregrina).;47;1;1;0;8
Schistocerca gregaria (Desert locust).;107;1;1;0;3
Schizaphis graminum (Green bug aphid).;2;1;1;0;1
Schmidtea mediterranea (Freshwater planarian flatworm).;3;1;1;0;1
Sclerotinia sclerotiorum (White mold) (Whetzelinia sclerotiorum).;23;1;1;0;1
Scutellaria baicalensis (Baical skullcap).;3;1;1;0;1
Scyliorhinus torazame (Cloudy catshark).;2;1;1;0;1
Secale cereale (Rye).;14;1;1;0;2
Sepia officinalis (Common cuttlefish).;25;1;1;0;1
Seriola quinqueradiata (Five-ray yellowtail).;8;1;1;0;1
Sesamum indicum (Oriental sesame) (Sesamum orientale).;21;1;1;0;2
Silene latifolia (White campion) (Bladder campion).;2;1;1;0;1
Silurus asotus (Amur catfish) (Parasilurus asotus).;2;1;1;0;1
Sinapis alba (White mustard) (Brassica hirta).;22;1;1;0;2
Sminthopsis crassicaudata (Fat-tailed dunnart) (Phascogale crassicaudata).;61;1;1;0;1
Sminthopsis macroura (Stripe-faced dunnart).;42;1;1;0;1
Solanum chilense (Tomato) (Lycopersicon chilense).;21;1;1;0;2
Solanum commersonii (Commerson's wild potato) (Commerson's nightshade).;4;1;1;0;3
Solanum peruvianum (Peruvian tomato) (Lycopersicon peruvianum).;7;1;1;0;1
Solea senegalensis (Senegalese sole).;5;1;1;0;2
Solenopsis invicta (Red imported fire ant) (Solenopsis wagneri).;10;1;1;0;9
Solenopsis richteri (Black imported fire ant).;3;1;1;0;1
Sorex araneus (Eurasian common shrew) (European shrew).;24;1;1;0;1
Sorex unguiculatus (Long-clawed shrew).;40;1;1;0;2
Spalax carmeli (Southern Israeli blind subterranean mole rat).;2;1;1;0;1
Spalax ehrenbergi (Middle East blind mole rat) (Nannospalax ehrenbergi).;6;1;1;0;1
Spalax judaei (Judean Mountains blind mole rat) (Nannospalax judaei).;40;1;1;0;1
Spermophilus citellus (European suslik) (Citellus citellus).;27;1;1;0;1
Spermophilus tridecemlineatus (Thirteen-lined ground squirrel) (Ictidomys tridecemlineatus).;65;1;1;0;8
Spodoptera frugiperda (Fall armyworm).;71;1;1;0;2
Strongylocentrotus franciscanus (Giant red sea urchin) (Mesocentrotus franciscanus).;24;1;1;0;1
Styela clava (Sea squirt).;24;1;1;0;2
Suncus murinus (Asian house shrew) (Musk shrew).;10;1;1;0;4
Sylvicapra grimmia (Grey duiker).;20;1;1;0;1
Syncephalastrum racemosum (Filamentous fungus).;2;1;1;0;1
Tachypleus tridentatus (Japanese horseshoe crab).;10;1;1;0;6
Talaromyces emersonii.;2;1;1;0;1
Tarsius syrichta (Philippine tarsier).;26;1;1;0;1
Taurotragus derbianus (Giant eland) (Derby eland).;20;1;1;0;1
Tetrahymena pyriformis.;79;1;1;0;1
Tetraodon fluviatilis (Green pufferfish) (Chelonodon fluviatilis).;5;1;1;0;1
Tetraodon miurus (Congo puffer).;20;1;1;0;1
Thalictrum flavum subsp. glaucum (Yellow meadow rue).;3;1;1;0;1
Thanatephorus cucumeris (Black scurf of potato) (Rhizoctonia solani).;4;1;1;0;3
Thaumatococcus daniellii (Katemfe) (Phrynium daniellii).;2;1;1;0;1
Theobroma cacao (Cacao) (Cocoa).;5;1;1;0;3
Thermomyces lanuginosus (Humicola lanuginosa).;21;1;1;0;1
Theromyzon tessulatum (Duck leech).;5;1;1;0;4
Thielavia heterothallica (Myceliophthora thermophila).;3;1;1;0;1
Thunnus obesus (Bigeye tuna).;8;1;1;0;1
Tityus pachyurus (Colombian scorpion).;7;1;1;0;5
Tityus serrulatus (Brazilian scorpion).;9;1;1;0;5
Torulaspora delbrueckii (Yeast) (Candida colliculosa).;4;1;1;0;1
Toxocara canis (Canine roundworm).;3;1;1;0;1
Trachemys scripta (Red-eared slider turtle) (Pseudemys scripta).;40;1;1;0;1
Trachypithecus auratus (Javan langur).;2;1;1;0;1
Trachypithecus francoisi (Francois' leaf monkey) (Presbytis francoisi).;7;1;1;0;4
Tragelaphus imberbis (Lesser kudu).;19;1;1;0;1
Tragelaphus strepsiceros (Greater kudu).;3;1;1;0;2
Tribolium castaneum (Red flour beetle).;7;1;1;0;1
Trichinella spiralis (Trichina worm).;3;1;1;0;1
Trichoderma koningii (Hypocrea koningii).;4;1;1;0;2
Trichophyton soudanense.;4;1;1;0;2
Trichophyton violaceum.;3;1;1;0;1
Trichoplusia ni (Cabbage looper).;8;1;1;0;6
Trichostrongylus colubriformis (Black scour worm).;19;1;1;0;2
Trifolium repens (Creeping white clover).;5;1;1;0;1
Trimeresurus albolabris (White-lipped pit viper) (Cryptelytrops albolabris).;30;1;1;0;10
Trimeresurus gramineus (Bamboo pit viper) (Indian green tree viper).;67;1;1;0;11
Trimeresurus puniceus (Flat-nosed pitviper).;40;1;1;0;4
Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri).;161;1;1;0;49
Tropidechis carinatus (Australian rough-scaled snake).;21;1;1;0;20
Trypanosoma cruzi.;218;1;1;0;3
Trypanosoma equiperdum.;19;1;1;0;1
Tulipa bakeri (Tulip).;2;1;1;0;1
Tupaia belangeri (Common tree shrew) (Tupaia glis belangeri).;43;1;1;0;4
Tupaia glis (Tree shrew).;28;1;1;0;3
Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus).;52;1;1;0;7
Typhlonectes natans (Rubber eel).;19;1;1;0;1
Ulva pertusa (Sea lettuce).;2;1;1;0;1
Ursus thibetanus (Asiatic black bear) (Selenarctos thibetanus).;23;1;1;0;2
Varanus varius (Lace monitor).;27;1;1;0;7
Venerupis philippinarum (Japanese littleneck clam) (Tapes japonica).;6;1;1;0;4
Vespula maculifrons (Eastern yellow jacket) (Wasp).;20;1;1;0;1
Vespula vulgaris (Yellow jacket) (Wasp).;4;1;1;0;2
Vicia sativa (Spring vetch) (Tare).;4;0,75;0,75;0;2
Vigna unguiculata (Cowpea).;40;1;1;0;1
Vipera ammodytes ammodytes (Western sand viper).;28;1;1;0;10
Vipera aspis zinnikeri (Viper).;19;1;1;0;1
Vipera berus berus (Common viper).;20;1;1;0;1
Volvox carteri (Green alga).;44;1;1;0;2
Walterinnesia aegyptia (Desert black snake).;25;1;1;0;7
Wuchereria bancrofti.;5;1;1;0;2
Xenopus borealis (Kenyan clawed frog).;30;1;1;0;1
