OS;Count;signalHsmm;signalP;diff;sp_count
Plasmodium yoelii yoelii.;97;1;0,916666667;0,083333333;6
Alligator mississippiensis (American alligator).;122;1;0,917355372;0,082644628;1
Coccidioides immitis (strain RS) (Valley fever fungus).;1071;0,997183099;0,916197183;0,080985915;6
Drosophila persimilis (Fruit fly).;635;0,995948136;0,916666667;0,079281469;18
Pleurodeles waltl (Iberian ribbed newt).;47;0,995934959;0,916666667;0,079268293;6
Ailuropoda melanoleuca (Giant panda).;165;0,986486486;0,908386328;0,078100159;17
Brugia malayi (Filarial nematode worm).;254;0,953;0,875;0,078;4
Drosophila virilis (Fruit fly).;928;0,986002408;0,909090909;0,076911499;22
Drosophila grimshawi (Fruit fly) (Idiomyia grimshawi).;650;0,919699012;0,842991914;0,076707098;14
Apium graveolens (Celery).;8;1;0,928571429;0,071428571;1
Blumeria graminis f. sp. hordei (Barley powdery mildew) (Oidium monilioides f. sp. hordei).;8;1;0,928571429;0,071428571;1
Lens culinaris (Lentil) (Cicer lens).;8;1;0,928571429;0,071428571;7
Marmota monax (Woodchuck).;32;1;0,928571429;0,071428571;7
Cochliobolus carbonum (Bipolaris zeicola).;13;0,944444444;0,875;0,069444444;4
Leishmania major.;224;0,565022422;0,5;0,065022422;1
Bison bison (American bison) (Bos bison).;9;1;0,9375;0,0625;1
Chaetomium globosum (strain ATCC 6205 / CBS 148.51 / DSM 1962 / NBRC 6347 / NRRL 1970) (Soil fungus).;975;0,935633368;0,873455201;0,062178167;4
Vicia faba (Broad bean) (Faba vulgaris).;151;0,97816092;0,916666667;0,061494253;6
Colletotrichum gloeosporioides (Anthracnose fungus) (Glomerella cingulata).;14;0,848484848;0,787878788;0,060606061;3
Drosophila pseudoobscura pseudoobscura (Fruit fly).;1302;0,995152559;0,936712598;0,058439961;32
Drosophila ananassae (Fruit fly).;698;0,993126833;0,9375;0,055626833;16
Bothrops jararacussu (Jararacussu).;12;1;0,944444444;0,055555556;9
Lottia gigantea (Giant owl limpet).;51;1;0,944444444;0,055555556;27
Lodderomyces elongisporus (strain ATCC 11503 / CBS 2605 / JCM 1781 / NBRC 1676 / NRRL YB-4239) (Yeast) (Saccharomyces elongisporus).;781;0,983880253;0,932138745;0,051741508;9
Xenopus tropicalis (Western clawed frog) (Silurana tropicalis).;5491;0,965353342;0,915235081;0,05011826;119
Trichoderma harzianum (Hypocrea lixii).;18;1;0,95;0,05;10
Meyerozyma guilliermondii (strain ATCC 6260 / CBS 566 / DSM 6381 / JCM 1539 / NBRC 10279 / NRRL Y-324) (Yeast) (Candida guilliermondii).;935;0,983321334;0,933645308;0,049676026;9
Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica).;3067;0,961635091;0,913967257;0,047667834;32
Leishmania mexicana.;14;0,878787879;0,833333333;0,045454545;3
Naja kaouthia (Monocled cobra) (Naja siamensis).;16;1;0,954545455;0,045454545;11
Entamoeba histolytica.;183;0,996828753;0,951638478;0,045190275;11
Arabidopsis thaliana (Mouse-ear cress).;45143;0,973245593;0,928781774;0,044463819;1920
Leishmania donovani.;137;0,544117647;0,5;0,044117647;1
Daucus carota (Wild carrot).;406;0,84280303;0,798737374;0,044065657;10
Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea).;672;0,955955956;0,915165165;0,040790791;6
Danio rerio (Zebrafish) (Brachydanio rerio).;9519;0,960078864;0,919607227;0,040471637;265
Rhizopus delemar (strain RA 99-880 / ATCC MYA-4621 / FGSC 9543 / NRRL 43880) (Mucormycosis agent) (Rhizopus arrhizus var. delemar).;141;0,984848485;0,944444444;0,04040404;9
Zygosaccharomyces rouxii (strain ATCC 2623 / CBS 732 / NBRC 1130 / NCYC 568 / NRRL Y-229) (Candida mogii).;370;0,96772924;0,928571429;0,039157812;7
